REN,BUY,LIMIT,IOC,8,0.04076,0.04016,FILLED,8,8,1723973161354,0.32608
ALT,BUY,LIMIT,IOC,4,0.0996730,0.0982200,FILLED,4,4,1723973161354,0.398692
FXS,BUY,LIMIT,IOC,0.1,1.975740,1.937000,FILLED,0.1,0.1,1723973161354,0.19757400000000003
AGLD,BUY,LIMIT,IOC,1,0.7685580,0.7574000,FILLED,1,1,1723973161354,0.768558
VANRY,BUY,LIMIT,IOC,6,0.0880511,0.0867600,FILLED,6,6,1723973161354,0.5283066
KLAY,BUY,LIMIT,IOC,0.5,0.1511,0.1491,FILLED,0.5,0.5,1723973161354,0.07555
DYM,SELL,LIMIT,IOC,0.3,1.334701,1.355400,FILLED,0.3,0.3,1723973161354,0.40041029999999994
IO,BUY,LIMIT,IOC,0.1,1.8016200,1.7750000,FILLED,0.1,0.1,1723973161354,0.18016200000000002
FET,SELL,LIMIT,IOC,1,0.8158821,0.8280000,FILLED,1,1,1723973161354,0.8158821
C98,BUY,LIMIT,IOC,1,0.1147,0.1125,FILLED,1,1,1723973161354,0.1147
DYDX,BUY,LIMIT,IOC,0.2,1.092,1.082,FILLED,0.2,0.2,1723973161354,0.21840000000000004
CFX,SELL,LIMIT,IOC,2,0.1277121,0.1289700,FILLED,2,2,1723973161354,0.2554242
TRU,BUY,LIMIT,IOC,2,0.0887435,0.0870200,FILLED,2,2,1723973161354,0.177487
STMX,BUY,LIMIT,IOC,9,0.00580,0.00570,FILLED,9,9,1723973161354,0.052199999999999996
TOKEN,SELL,LIMIT,IOC,5,0.0556583,0.0565300,FILLED,5,5,1723973161354,0.2782915
COMBO,BUY,LIMIT,IOC,0.2,0.416465,0.408600,FILLED,0.2,0.2,1723973161354,0.083293
OM,SELL,LIMIT,IOC,0.1,0.8857501,0.8994100,FILLED,0.1,0.1,1723973161354,0.08857501000000001
XEM,SELL,LIMIT,IOC,4,0.0199,0.0202,FILLED,4,4,1723973161354,0.0796
1000BONK,SELL,LIMIT,IOC,15,0.0176907,0.0179630,FILLED,15,15,1723973161354,0.2653605
APT,SELL,LIMIT,IOC,0.1,5.78285,5.84200,FILLED,0.1,0.1,1723973161354,0.578285
G,BUY,LIMIT,IOC,7,0.0453290,0.0446500,FILLED,7,7,1723973161354,0.317303
MYRO,SELL,LIMIT,IOC,4,0.0738318,0.0750200,FILLED,4,4,1723973161354,0.2953272
ETHFI,SELL,LIMIT,IOC,0.3,1.3680134,1.3880000,FILLED,0.3,0.3,1723973161354,0.41040402
ASTR,BUY,LIMIT,IOC,4,0.0612452,0.0603700,FILLED,4,4,1723973161354,0.2449808
TAO,SELL,LIMIT,IOC,0.001,273.61,277.65,FILLED,0.001,0.001,1723973161354,0.27361
SUPER,BUY,LIMIT,IOC,1,0.5516520,0.5435000,FILLED,1,1,1723973161354,0.551652
RARE,BUY,LIMIT,IOC,681,0.2994040,0.2941000,FILLED,681,681,1723973163249,203.894124
